date,overnight,1 week,2 weeks,1 months,2 months,3 months,6 months,12 months
2010-01-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-01-02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-01-03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-01-04,0.03000,0.04971,0.05000,0.07964,0.11893,0.15679,0.31571,0.71429
2010-01-05,0.03000,0.04971,0.05000,0.07964,0.11000,0.15000,0.29929,0.68929
2010-01-06,0.03000,0.04900,0.04971,0.08000,0.11000,0.14000,0.28000,0.66857
2010-01-07,0.03000,0.04971,0.04971,0.06964,0.10000,0.13000,0.26000,0.62857
2010-01-08,0.03000,0.04971,0.04971,0.06964,0.10000,0.13000,0.26000,0.62857
2010-01-09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-01-10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-01-11,0.03000,0.04971,0.04971,0.06036,0.09000,0.12000,0.24000,0.57000
